framework,project,todos nao distintos,todos distintos,apenas do framework nao distintos,apenas do framework distinto
android,android-DoneBar,26,17,25,16
android,android-DownloadableFonts,29,25,23,23
android,android-DragAndDropAcrossApps,108,46,88,37
android,android-DrawableTinting,45,34,37,29
android,android-ElevationBasic,41,30,30,22
android,android-ElevationDrag,51,37,39,28
android,android-ElizaChat,25,20,25,20
android,android-EmojiCompat,28,23,20,18
android,android-fido,110,87,51,40
android,android-FindMyPhone,45,34,24,17
android,android-FingerprintDialog,60,48,45,33
android,android-fit,185,59,81,21
android,android-Flashlight,19,18,18,17
android,android-FloatingActionButtonBasic,47,33,37,27
android,android-gcmnetworkmanager,27,23,14,11
android,android-Geofencing,104,42,37,22
android,android-google-accounts,44,27,25,17
android,android-GridViewPager,29,25,27,23
android,android-HdrViewfinder,71,51,66,47
android,android-HorizontalPaging,15,15,13,13
android,android-ImmersiveMode,39,29,29,23
android,android-instant-apps,379,113,211,71
android,android-Interpolator,55,39,44,31
android,android-JobScheduler,54,39,46,34
android,android-JumpingJack,64,43,50,32
android,android-key-attestation,23,23,0,0
android,android-LNotifications,57,34,55,32
android,android-MediaBrowserService,122,63,92,48
android,android-MediaEffects,54,41,42,31
android,android-MediaRecorder,38,32,24,22
android,android-MediaRouter,169,97,148,86
android,android-MessagingService,62,41,53,32
android,android-MidiScope,110,49,80,32
android,android-MidiSynth,98,48,74,32
android,android-MultiWindowPlayground,60,35,42,23
android,android-NavigationDrawer,55,37,53,35
android,android-nearby,254,118,136,60
android,android-NetworkConnect,28,22,21,15
android,android-NfcProvisioning,84,60,57,39
android,android-NotificationChannels,19,15,19,15
android,android-Notifications,250,59,117,25
android,android-OurStreets,257,112,141,61
android,android-PdfRendererBasic,30,27,23,20
android,android-PermissionRequest,86,62,63,42
android,android-PictureInPicture,108,56,64,44
android,android-play-awareness,47,44,31,28
android,android-play-billing,252,112,96,49
android,android-play-games-in-motion,238,111,97,41
android,android-play-location,303,93,176,47
android,android-play-places,257,101,180,57
android,android-play-publisher-api,195,46,0,0
android,android-play-safetynet,75,60,29,24
android,android-Quiz,142,56,35,20
android,android-RecipeAssistant,81,46,64,37
android,android-RecyclerView,44,29,36,24
android,android-RenderScriptIntrinsic,35,33,34,32
android,android-RepeatingAlarm,36,30,28,24
android,android-RevealEffectBasic,41,31,32,25
android,android-RuntimePermissions,60,39,54,34
android,android-RuntimePermissionsWear,103,34,58,19
android,android-ScopedDirectoryAccess,37,28,33,26
android,android-ScreenCapture,54,40,43,32
android,android-ShareActionProvider,33,29,28,24
android,android-SimpleMediaPlayer,17,17,12,12
android,android-SkeletonWearableApp,34,32,32,30
android,android-SlidingTabsBasic,62,39,52,32
android,android-SlidingTabsColors,70,43,59,34
android,android-SpeedTracker,120,79,58,40
android,android-StorageClient,52,43,40,34
android,android-StorageProvider,62,51,41,34
android,android-SwipeRefreshLayoutBasic,73,49,59,38
android,android-SwipeRefreshListFragment,81,54,65,41
android,android-SwipeRefreshMultipleViews,81,53,65,40
android,android-SynchronizedNotifications,85,50,45,28
android,android-TensorFlowCloudMachineLearningEngineStylizer,107,72,74,49
android,android-testdpc,1968,375,1239,196
android,android-testing,555,120,170,46
android,android-testing-templates,112,32,39,22
android,android-TextLinkify,27,23,26,22
android,android-TextSwitcher,25,20,25,20
android,android-Timer,35,24,32,22
android,android-unsplash,139,76,94,52
android,android-vision,591,101,372,54
android,android-WatchFace,263,115,173,73
android,android-WatchViewStub,11,11,11,11
android,android-WclDemoSample,219,90,98,36
android,android-WearAccessibilityApp,230,63,210,59
android,android-WearCompanionLibrary,261,119,94,46
android,android-WearComplicationProvidersTestSuite,56,13,56,13
android,android-WearDrawers,20,20,19,19
android,android-WearHighBandwidthNetworking,17,17,15,15
android,android-WearOAuth,26,26,9,9
android,android-WearSpeakerSample,46,41,39,34
android,android-WearStandaloneGoogleSignIn,24,23,15,14
android,android-WearVerifyRemoteApp,42,25,24,15
android,android-WifiRttScan,62,34,41,23
android,android-XYZTouristAttractions,288,127,152,74
android,androidtv-daydream,70,30,59,26
android,androidtv-GameController,46,33,23,17
android,androidtv-Leanback,468,187,184,65
android,androidtv-sample-inputs,835,262,381,106
android,androidtv-VisualGameController,43,29,39,25
android,attendee-checkin,450,204,323,131
android,chromeos-android-draganddrop-demo,26,23,17,17
android,easypermissions,292,82,86,25
android,google-services,236,105,136,55
android,identity-toolkit-android,24,23,14,14
android,leanback-assistant,126,71,97,58
android,leanback-homescreen-channels,213,101,166,76
android,leanback-showcase,1487,378,1162,298
spring,getting-started-guides,17,13,4,4
spring,gs-accessing-data-gemfire,18,17,3,3
spring,gs-accessing-data-jpa,20,19,5,5
spring,gs-accessing-data-mongodb,16,14,4,4
spring,gs-accessing-data-mysql,16,15,2,2
spring,gs-accessing-data-neo4j,19,19,3,3
spring,gs-accessing-data-rest,23,20,4,4
spring,gs-accessing-gemfire-data-rest,34,25,4,4
spring,gs-accessing-mongodb-data-rest,21,18,4,4
spring,gs-accessing-neo4j-data-rest,26,23,5,5
spring,gs-accessing-vault,21,19,4,4
spring,gs-actuator-service,22,20,7,5
spring,gs-async-method,19,16,4,4
spring,gs-authenticating-ldap,21,19,4,4
spring,gs-batch-processing,34,30,2,2
spring,gs-caching,16,8,6,3
spring,gs-caching-gemfire,22,19,3,3
spring,gs-centralized-configuration,25,17,7,4
spring,gs-circuit-breaker,51,24,10,6
spring,gs-client-side-load-balancing,53,33,12,6
spring,gs-consuming-rest,17,15,5,5
spring,gs-consuming-web-service,14,12,3,3
spring,gs-contract-rest,58,26,14,5
spring,gs-crud-with-vaadin,74,43,9,5
spring,gs-gateway,21,18,7,5
spring,gs-gradle,8,7,0,0
spring,gs-handling-form-submission,18,15,3,3
spring,gs-integration,17,17,3,3
spring,gs-managing-transactions,13,10,3,3
spring,gs-maven,4,3,0,0
spring,gs-messaging-gcp-pubsub,24,24,2,2
spring,gs-messaging-jms,15,15,3,3
spring,gs-messaging-rabbitmq,26,23,5,5
spring,gs-messaging-redis,16,13,2,2
spring,gs-messaging-stomp-websocket,37,37,4,4
spring,gs-multi-module,22,14,7,5
spring,gs-producing-web-service,39,38,6,6
spring,gs-reactive-rest-service,26,21,3,3
spring,gs-relational-data-access,10,10,3,3
spring,gs-rest-hateoas,31,24,7,6
spring,gs-rest-service,17,14,4,4
spring,gs-rest-service-cors,23,23,4,4
spring,gs-scheduling-tasks,25,18,5,4
spring,gs-securing-web,34,23,6,4
spring,gs-service-registration-and-discovery,41,26,12,6
spring,gs-serving-web-content,15,13,3,3
spring,gs-spring-boot,38,23,10,7
spring,gs-spring-boot-docker,18,16,8,6
spring,gs-spring-boot-for-azure,17,13,4,4
spring,gs-testing-restdocs,23,15,5,5
spring,gs-testing-web,60,19,12,9
spring,gs-uploading-files,112,56,15,10
spring,gs-validating-form-input,22,21,4,4
spring,gs-vault-config,13,13,6,6
spring,quoters,19,18,3,3
spring,tut-rest,152,36,12,3
spring,tut-spring-boot-oauth2,178,52,49,15
