sample,repository,forks,diskUsage_KB,stargazers,watchers,issues,commits,pullRequests,updatedAt,projects,status,ahead_by,behind_by,Android,0,"0,238805970149254"
Spring,eing/gs-accessing-data-mongodb,0,377,0,1,0,174,0,2016-09-19T20:29:10Z,0,diverged,22,26,,,
Spring,akhaldi94/tx1,0,440,0,1,0,168,0,2017-01-11T13:30:14Z,0,diverged,20,26,,,
Spring,cynic89/gs-spring-boot,0,430,0,1,0,160,0,2016-12-28T17:26:43Z,0,diverged,12,26,,,
Spring,wytten/gs-batch-processing,0,392,0,1,0,191,0,2016-11-16T20:08:45Z,0,diverged,24,25,,,
Spring,Merter/getting-started-guides,0,5492,0,1,0,92,0,2016-09-05T19:33:12Z,0,diverged,20,23,,,
Spring,ctc94/gs-spring-boot-docker,0,271,0,0,0,109,0,2017-10-19T05:42:02Z,0,diverged,13,23,,,
Spring,ctc948040/gs-spring-boot-docker,0,25527,0,0,0,108,0,2017-10-19T12:55:23Z,0,diverged,12,23,,,
Spring,sandcast/gs-rest-hateoas,0,396,0,1,0,197,0,2017-01-18T20:53:15Z,0,diverged,31,21,,,
Spring,StringerJavaObfuscator/gs-spring-boot,1,442,1,0,0,166,1,2017-04-11T02:11:30Z,0,diverged,13,21,,,
Spring,larrycl/gs-spring-boot-docker,0,324,0,1,0,109,0,2017-12-05T04:51:53Z,0,diverged,11,21,,,
Spring,MalihehS/gs-accessing-data-mysql,1,289,1,0,0,105,0,2017-05-30T12:56:33Z,0,diverged,16,20,,,
Spring,lightgao/gs-spring-boot,0,470,0,1,0,166,0,2017-04-11T08:40:39Z,1,diverged,12,20,,,
Spring,kirantlr/gs-spring-boot-docker,0,317,0,0,0,110,0,2018-02-02T00:31:46Z,0,diverged,11,20,,,
Spring,JonathanLalou/fake-zinc,0,954,0,1,0,357,3,2018-08-01T22:43:55Z,1,diverged,51,19,,,
Spring,brooklyyounce/gs-spring-boot,0,455,0,0,0,205,0,2017-07-13T12:06:32Z,0,diverged,50,19,,,
Spring,RaphaelHerd/gs-rest-service,0,13406,0,1,0,340,0,2017-05-04T14:53:15Z,0,diverged,34,19,,,
Spring,dudash/openshiftexamples-springbootrestservice,0,878,0,1,0,320,0,2018-05-22T23:44:43Z,0,diverged,14,19,,,
Spring,btisdall/gs-actuator-service,0,432,0,0,0,186,0,2017-04-09T19:08:10Z,0,diverged,11,19,,,
Spring,MarketStreetSoftware/gs-centralized-configuration,0,397,0,1,0,196,0,2017-11-30T15:20:08Z,0,diverged,11,19,,,
Spring,venosov/gs-rest-service,0,834,0,1,0,317,0,2017-04-29T17:27:43Z,0,diverged,11,19,,,
Spring,mageddo/gs-messaging-jms,1,677,0,1,0,254,1,2017-05-12T05:41:16Z,0,diverged,86,17,,,
Spring,pjskyboy/gs-accessing-data-rest,0,339,0,1,0,99,0,2017-03-18T08:42:45Z,0,diverged,19,17,,,
Spring,sambamitra/gs-producing-web-service,0,391,0,1,0,111,0,2017-02-07T11:56:32Z,0,diverged,12,17,,,
Spring,qijunbo/gs-accessing-data-jpa,0,974,0,1,0,196,0,2017-08-15T09:57:32Z,0,diverged,26,16,,,
Spring,himanshumps/gs-spring-boot,0,451,0,0,0,170,0,2017-08-22T10:53:26Z,0,diverged,12,16,,,
Spring,titusn/gs-maven,2,143,0,1,0,154,0,2017-05-03T14:30:32Z,0,diverged,38,15,,,
Spring,mycartracks/commute-assist,0,9734,0,2,0,331,0,2017-10-02T09:57:12Z,0,diverged,21,15,,,
Spring,menesbatto/TrenoBetWeb,0,592,0,1,0,105,0,2017-08-16T13:46:12Z,0,diverged,22,14,,,
Spring,owen198/ei-paas-java-example,0,856,0,2,0,326,0,2017-12-04T05:24:11Z,0,diverged,15,14,,,
Spring,nathenharvey/gs-rest-service,1,858,0,1,0,323,0,2017-11-28T16:11:04Z,0,diverged,12,14,,,
Spring,nathenharvey/gs-accessing-data-mysql,0,292,0,1,0,113,0,2017-11-29T04:07:05Z,0,diverged,17,13,,,
Spring,lsegala/bankslips,0,329,0,1,0,64,0,2018-07-12T13:37:53Z,0,diverged,14,13,,,
Spring,MirceaM11/gs-consuming-rest,0,437,0,1,0,213,1,2017-09-22T12:37:20Z,0,diverged,31,12,,,
Spring,wardviaene/gs-gradle,57,283,1,1,0,132,2,2018-08-02T17:29:26Z,0,diverged,11,12,,,
Spring,Buzzardo/getting-started-guides,1,289,0,1,0,103,1,2017-09-13T17:56:05Z,0,diverged,19,11,,,
Spring,Rajdash/gs-serving-web-content,0,7160,0,0,0,244,0,2017-11-07T06:50:57Z,0,diverged,90,10,,,
Spring,mohitgargk/gs-rest-service,0,14754,0,1,0,335,0,2018-03-25T12:29:57Z,0,diverged,18,8,,,
Spring,gunayus/getting-started-guides,2,345,0,1,0,99,1,2017-12-08T23:57:11Z,0,diverged,12,8,,,
Spring,luisgreen/gs-spring-boot-docker,0,436,0,1,0,132,0,2018-06-14T01:30:20Z,0,diverged,20,7,,,
Spring,CLdevops/gs-spring-boot-docker,0,478,0,0,0,159,0,2018-07-24T17:01:47Z,0,diverged,46,6,,,
Spring,rajkgenomics/gs-spring-boot-docker,0,446,0,0,0,153,0,2018-08-24T15:45:53Z,0,diverged,40,6,,,
Spring,damadei/gs-spring-boot-docker,0,435,0,1,0,127,0,2018-09-25T19:38:11Z,0,diverged,14,6,,,
Spring,fangjf/gs-spring-boot-docker,0,440,0,1,0,126,0,2018-09-11T02:04:01Z,0,diverged,13,6,,,
Spring,marianor/gs-spring-boot-docker,0,436,0,1,0,124,0,2018-10-24T23:36:59Z,0,diverged,11,6,,,
Spring,pavants52/gs-maven,3,165,0,0,0,161,0,2018-08-20T09:19:35Z,0,diverged,33,3,,,
Spring,Allysquad/gs-consuming-rest,0,506,0,1,0,209,0,2018-07-08T19:51:03Z,0,diverged,18,3,,,
Spring,andyliu1985/gs-scheduling-tasks,0,417,0,0,0,217,0,2018-09-19T09:06:57Z,0,diverged,14,3,,,
Spring,jskomurski/gs-rest-service,0,925,0,0,0,337,0,2018-10-25T03:05:24Z,0,diverged,14,2,,,
Spring,ythalorossy/gs-gradle,0,354,0,1,0,145,0,2018-05-04T18:17:29Z,0,diverged,14,2,,,
Spring,alvarolmedo/gs-gradle,1,350,0,1,0,144,2,2018-04-26T17:55:41Z,0,diverged,13,2,,,
Spring,PaulHaldane/gs-spring-boot,0,481,0,1,0,183,0,2018-09-06T10:48:12Z,0,diverged,11,2,,,
Spring,anmeng/gs-spring-boot,0,528,0,1,0,230,0,2018-10-17T10:13:50Z,0,diverged,57,1,,,
Spring,leaqui/gs-spring-boot,0,30928,0,0,0,185,0,2018-09-19T19:11:05Z,0,diverged,12,1,,,
Spring,premroxx/gs-spring-boot,0,486,0,0,0,184,0,2018-10-31T19:28:01Z,0,diverged,11,1,,,
Spring,laki88/gs-multi-module,0,212,0,0,0,44,0,2018-08-27T10:24:18Z,0,diverged,11,1,,,
Spring,giuesposbit/gs-gradle,0,368,0,1,0,158,0,2018-08-22T14:44:25Z,0,ahead,25,0,,,
Spring,mankidal19/leanback-showcase,0,128007,0,0,0,61,0,2018-10-17T04:41:41Z,0,ahead,21,0,,,
Spring,nanquanyuhao/gs-spring-boot-docker,1,447,0,0,0,139,0,2018-10-17T09:24:07Z,0,ahead,20,0,,,
Spring,Pucster/gs-spring-boot,0,485,0,1,0,190,0,2018-11-21T11:56:40Z,0,ahead,16,0,,,
Spring,albertolop85/gs-spring-boot,0,490,0,0,0,186,0,2018-11-29T02:20:50Z,0,ahead,12,0,,,
