ecosystem,group,nameProject,forks,diskUsage_KB,stargazers,watchers,issues,commits,pullRequests,updatedAt,numberofFilesJava,CountDeclFunction,CountDeclInstanceMethod,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,RelativeMethodPublic,RelativeLineCode,CyclomaticPerMethod,RelativeLineComment,Commit,Contributor,Lifetime,LifetimePerCommit,LifetimePerCont,BC,relativeBC,NBC,relativeNBC,total
Android,TOP,android-Camera2Video,441,6928,876,77,83,27,9,2018-11-13T10:16:03Z,3,50.0,46.0,50.0,0.0,18.0,2.0,30.0,874.0,98.0,612.0,185.0,373.0,164.0,87.0,104.0,102.0,118.0,0.6,0.7,2.04,0.19,27,3,1593,59.0,531.0,0,0.0,54,100.0,54
Android,TOP,android-play-billing,725,3146,851,112,141,65,25,2018-11-12T07:52:51Z,35,270.0,262.0,270.0,46.0,18.0,9.0,197.0,4716.0,552.0,2733.0,1005.0,1538.0,1436.0,1511.0,510.0,506.0,550.0,0.73,0.58,1.87,0.3,28,11,1164,41.0,105.0,392,82.4,84,17.6,476
Android,TOP,android-ScreenCapture,238,334,803,76,16,20,1,2018-11-13T14:04:40Z,10,69.0,51.0,69.0,0.0,6.0,4.0,59.0,1090.0,140.0,531.0,220.0,252.0,419.0,465.0,99.0,94.0,101.0,0.86,0.49,1.36,0.38,20,1,1421,71.0,1421.0,0,0.0,0,0.0,0
Android,TOP,android-instant-apps,239,782,802,63,47,36,11,2018-11-13T02:37:21Z,38,198.0,190.0,198.0,5.0,28.0,35.0,130.0,3375.0,460.0,2096.0,1025.0,943.0,836.0,1568.0,263.0,257.0,273.0,0.66,0.62,1.3,0.25,35,8,537,15.0,67.0,140,36.4,245,63.6,385
Android,TOP,android-BluetoothChat,560,569,776,87,26,25,11,2018-11-13T10:27:47Z,12,95.0,77.0,95.0,0.0,11.0,5.0,79.0,2011.0,255.0,1050.0,368.0,600.0,710.0,529.0,195.0,176.0,196.0,0.83,0.52,1.85,0.35,25,1,1494,59.0,1494.0,0,0.0,0,0.0,0
Android,TOP,android-BluetoothLeGatt,483,313,684,81,44,25,13,2018-11-19T12:33:35Z,4,52.0,50.0,52.0,1.0,8.0,7.0,36.0,938.0,101.0,664.0,236.0,390.0,173.0,90.0,106.0,103.0,115.0,0.69,0.71,1.98,0.18,25,2,1525,61.0,762.0,0,0.0,0,0.0,0
Android,TOP,android-JobScheduler,245,993,646,53,8,26,1,2018-11-14T11:38:03Z,9,63.0,45.0,63.0,1.0,4.0,3.0,55.0,1108.0,141.0,514.0,217.0,258.0,454.0,406.0,91.0,83.0,91.0,0.87,0.46,1.32,0.41,26,3,1593,61.0,531.0,52,50.0,52,50.0,104
Android,TOP,android-EmojiCompat,112,248,604,26,18,5,4,2018-11-12T09:58:26Z,3,13.0,13.0,13.0,1.0,2.0,1.0,9.0,259.0,49.0,143.0,81.0,63.0,67.0,157.0,17.0,17.0,17.0,0.69,0.55,1.31,0.26,5,1,537,107.0,537.0,0,0.0,0,0.0,0
Android,TOP,android-RecyclerView,337,503,561,81,20,25,4,2018-11-14T06:27:44Z,10,65.0,49.0,67.0,0.0,2.0,3.0,62.0,1084.0,144.0,483.0,200.0,232.0,457.0,513.0,90.0,84.0,90.0,0.93,0.45,1.25,0.42,25,1,1494,59.0,1494.0,25,25.0,75,75.0,100
Android,TOP,android-play-places,638,288,465,61,68,24,6,2018-11-12T11:55:56Z,45,344.0,269.0,344.0,0.0,29.0,22.0,293.0,5959.0,807.0,2872.0,1106.0,1531.0,2285.0,2230.0,544.0,507.0,556.0,0.85,0.48,1.47,0.38,18,2,1389,77.0,694.0,162,69.2,72,30.8,234
Android,TOP,android-PdfRendererBasic,142,804,464,47,23,25,3,2018-11-12T02:38:38Z,3,24.0,24.0,24.0,0.0,6.0,2.0,16.0,441.0,50.0,255.0,108.0,124.0,136.0,147.0,39.0,38.0,39.0,0.67,0.58,1.58,0.31,25,2,1533,61.0,766.0,50,66.7,25,33.3,75
Android,TOP,android-unsplash,70,176,439,23,7,34,4,2018-10-31T05:56:40Z,16,117.0,111.0,117.0,1.0,19.0,10.0,87.0,1755.0,230.0,1159.0,537.0,566.0,370.0,472.0,168.0,162.0,174.0,0.74,0.66,1.38,0.21,30,5,915,30.0,183.0,120,21.1,450,78.9,570
Android,TOP,android-nearby,292,483,415,71,55,37,14,2018-11-12T04:08:00Z,15,278.0,266.0,284.0,5.0,72.0,98.0,109.0,3673.0,474.0,2549.0,870.0,1422.0,662.0,466.0,436.0,415.0,462.0,0.38,0.69,1.46,0.18,22,7,1346,61.0,192.0,286,40.6,418,59.4,704
Android,TOP,android-MultiWindowPlayground,156,351,408,73,4,9,2,2018-11-01T11:55:32Z,14,72.0,54.0,72.0,0.0,1.0,16.0,55.0,1205.0,175.0,499.0,216.0,217.0,531.0,763.0,89.0,84.0,89.0,0.76,0.41,1.17,0.44,9,1,971,107.0,971.0,9,50.0,9,50.0,18
Android,TOP,leanback-showcase,162,87624,408,50,39,40,27,2018-11-10T06:48:25Z,154,916.0,888.0,918.0,102.0,109.0,58.0,649.0,14896.0,2107.0,9227.0,4334.0,4266.0,3586.0,5989.0,1374.0,1327.0,1439.0,0.71,0.62,1.45,0.24,32,10,907,28.0,90.0,2816,50.0,2816,50.0,5632
Android,TOP,android-XYZTouristAttractions,173,26398,373,55,8,24,3,2018-11-09T04:48:32Z,18,128.0,102.0,128.0,8.0,22.0,8.0,90.0,2767.0,377.0,1816.0,860.0,1010.0,587.0,680.0,242.0,236.0,268.0,0.7,0.66,1.84,0.21,24,1,1316,54.0,1316.0,48,28.6,120,71.4,168
Android,TOP,android-AutofillFramework,202,104313,357,67,17,28,0,2018-11-08T20:15:55Z,348,705.0,589.0,654.0,48.0,122.0,66.0,418.0,248500.0,1464.0,182466.0,174912.0,172836.0,64575.0,4349.0,1303.0,1256.0,1401.0,0.64,0.73,1.92,0.26,27,3,594,22.0,198.0,95,47.7,104,52.3,199
Android,TOP,android-OurStreets,46,162,352,29,3,7,0,2018-11-11T13:42:43Z,26,192.0,177.0,192.0,6.0,37.0,8.0,141.0,2708.0,336.0,1699.0,789.0,773.0,675.0,1204.0,252.0,252.0,258.0,0.73,0.63,1.31,0.25,7,1,928,132.0,928.0,0,0.0,0,0.0,0
Android,TOP,android-custom-lint-rules,65,176,337,22,10,16,6,2018-11-12T08:51:32Z,7,20.0,20.0,20.0,0.0,1.0,4.0,15.0,541.0,48.0,310.0,121.0,162.0,187.0,394.0,34.0,34.0,40.0,0.75,0.57,1.7,0.35,13,5,1215,93.0,243.0,13,33.3,26,66.7,39
Android,TOP,android-MediaBrowserService,140,12899,332,45,7,26,1,2018-11-05T23:22:37Z,9,115.0,107.0,115.0,2.0,23.0,12.0,78.0,1681.0,238.0,1151.0,436.0,583.0,293.0,203.0,183.0,174.0,192.0,0.68,0.68,1.51,0.17,26,1,1448,55.0,1448.0,754,49.2,780,50.8,1534
Android,TOP,android-fit,336,501,330,61,35,54,7,2018-11-12T07:06:24Z,31,280.0,187.0,280.0,0.0,46.0,11.0,223.0,4575.0,483.0,2169.0,765.0,1196.0,1926.0,1164.0,406.0,381.0,408.0,0.8,0.47,1.36,0.42,38,7,1558,41.0,222.0,1748,61.3,1102,38.7,2850
Android,TOP,android-ActivitySceneTransitionBasic,107,9151,317,30,8,25,3,2018-11-13T08:00:20Z,11,74.0,55.0,74.0,1.0,5.0,3.0,65.0,1161.0,162.0,499.0,199.0,238.0,502.0,567.0,95.0,90.0,98.0,0.88,0.43,1.22,0.43,25,1,1480,59.0,1480.0,0,0.0,0,0.0,0
Android,TOP,android-play-publisher-api,181,28,314,53,41,11,7,2018-11-12T16:50:06Z,12,22.0,2.0,22.0,0.0,10.0,4.0,8.0,1407.0,193.0,771.0,457.0,459.0,453.0,475.0,38.0,38.0,42.0,0.36,0.55,1.73,0.32,8,4,1573,196.0,393.0,0,0.0,0,0.0,0
Android,TOP,android-Camera2Raw,130,1368,288,39,16,17,6,2018-11-12T07:00:08Z,4,88.0,79.0,88.0,0.0,30.0,3.0,55.0,2022.0,245.0,1159.0,351.0,710.0,621.0,206.0,199.0,196.0,226.0,0.63,0.57,2.23,0.31,17,1,1257,73.0,1257.0,0,0.0,17,100.0,17
Android,TOP,androidtv-sample-inputs,140,23988,277,59,27,195,5,2018-11-10T09:56:54Z,48,702.0,657.0,702.0,45.0,74.0,5.0,578.0,12085.0,1170.0,7999.0,2991.0,4471.0,2965.0,1874.0,1335.0,1327.0,1442.0,0.82,0.66,1.89,0.25,157,17,1445,9.0,85.0,16328,42.4,22137,57.6,38465
Android,TOP,android-DownloadableFonts,76,401,275,36,14,5,1,2018-11-07T09:57:14Z,3,30.0,30.0,30.0,7.0,7.0,1.0,15.0,412.0,54.0,290.0,100.0,180.0,70.0,92.0,44.0,44.0,50.0,0.5,0.7,1.47,0.17,5,2,537,107.0,268.0,0,0.0,0,0.0,0
Android,TOP,android-WatchFace,151,2924,274,54,14,31,7,2018-11-04T02:29:09Z,17,234.0,222.0,236.0,9.0,57.0,10.0,160.0,4926.0,809.0,3186.0,1275.0,1846.0,1025.0,729.0,447.0,431.0,465.0,0.68,0.65,1.83,0.21,31,1,1426,46.0,1426.0,0,0.0,0,0.0,0
Android,TOP,android-NotificationChannels,142,986,273,35,12,5,9,2018-11-10T15:32:48Z,2,14.0,14.0,14.0,0.0,5.0,1.0,8.0,300.0,32.0,168.0,59.0,100.0,100.0,50.0,29.0,20.0,29.0,0.57,0.56,1.43,0.33,5,1,594,118.0,594.0,0,0.0,0,0.0,0
Android,TOP,android-NavigationDrawer,165,546,263,48,6,26,6,2018-11-08T03:16:24Z,10,75.0,56.0,75.0,0.0,4.0,4.0,67.0,1155.0,145.0,537.0,230.0,243.0,480.0,454.0,93.0,88.0,93.0,0.89,0.46,1.17,0.42,26,3,1593,61.0,531.0,0,0.0,0,0.0,0
Android,TOP,android-DisplayingBitmaps,114,1056,259,44,7,25,3,2018-11-12T05:27:27Z,21,275.0,219.0,277.0,2.0,43.0,34.0,198.0,5452.0,567.0,2945.0,952.0,1650.0,2151.0,962.0,571.0,560.0,621.0,0.71,0.54,2.02,0.39,25,1,1525,61.0,1525.0,0,0.0,50,100.0,50
Android,TOP,android-SwipeRefreshMultipleViews,83,135,252,36,1,24,1,2018-11-07T16:07:33Z,14,109.0,86.0,109.0,10.0,9.0,9.0,81.0,2025.0,280.0,1033.0,495.0,580.0,713.0,636.0,163.0,157.0,175.0,0.74,0.51,1.44,0.35,24,1,1525,63.0,1525.0,0,0.0,0,0.0,0
Android,TOP,android-CardView,188,125,248,42,6,26,2,2018-11-14T03:59:46Z,3,19.0,18.0,19.0,0.0,0.0,2.0,17.0,227.0,28.0,123.0,43.0,61.0,76.0,123.0,20.0,20.0,20.0,0.89,0.54,1.05,0.33,26,1,1494,57.0,1494.0,0,0.0,0,0.0,0
Android,TOP,android-MediaRecorder,159,982,243,37,16,27,5,2018-11-11T13:27:01Z,3,29.0,22.0,29.0,2.0,8.0,4.0,15.0,811.0,113.0,414.0,142.0,239.0,287.0,207.0,69.0,68.0,73.0,0.52,0.51,2.34,0.35,26,2,1525,58.0,762.0,52,66.7,26,33.3,78
Android,TOP,android-testdpc,134,6879,222,69,66,844,6,2018-11-08T03:05:23Z,126,1295.0,1131.0,1240.0,29.0,363.0,150.0,698.0,22628.0,2441.0,16987.0,6910.0,9771.0,3239.0,3293.0,2710.0,2380.0,2881.0,0.56,0.75,1.92,0.14,61,7,1270,20.0,181.0,6283,33.3,12566,66.7,18849
Android,TOP,android-AppUsageStatistics,78,807,220,39,9,21,3,2018-11-13T01:58:20Z,6,32.0,32.0,34.0,3.0,0.0,3.0,28.0,559.0,71.0,305.0,149.0,130.0,184.0,205.0,42.0,42.0,42.0,0.82,0.55,1.24,0.33,21,1,1421,67.0,1421.0,0,0.0,0,0.0,0
Android,TOP,android-ActiveNotifications,95,559,212,39,7,17,4,2018-11-14T03:59:34Z,10,65.0,47.0,65.0,0.0,4.0,7.0,54.0,1086.0,141.0,495.0,214.0,242.0,450.0,472.0,89.0,84.0,89.0,0.83,0.46,1.29,0.41,17,1,1257,73.0,1257.0,0,0.0,34,100.0,34
Android,TOP,android-MessagingService,141,399,204,46,4,29,2,2018-11-06T13:36:44Z,7,38.0,31.0,38.0,1.0,10.0,1.0,26.0,683.0,94.0,439.0,201.0,225.0,150.0,271.0,61.0,61.0,61.0,0.68,0.64,1.61,0.22,28,2,1448,51.0,724.0,56,100.0,0,0.0,56
Android,TOP,android-BasicSyncAdapter,109,474,203,24,7,26,5,2018-11-12T09:13:33Z,17,118.0,97.0,118.0,1.0,12.0,2.0,103.0,2681.0,258.0,1241.0,534.0,671.0,1209.0,734.0,195.0,181.0,203.0,0.87,0.46,1.53,0.45,25,2,1525,61.0,762.0,0,0.0,0,0.0,0
Android,TOP,android-BluetoothAdvertisements,106,216,197,25,11,17,1,2018-11-04T20:26:39Z,6,50.0,48.0,50.0,1.0,16.0,2.0,31.0,987.0,173.0,553.0,225.0,296.0,261.0,273.0,84.0,79.0,84.0,0.62,0.56,1.58,0.26,17,1,1264,74.0,1264.0,51,60.0,34,40.0,85
Android,TOP,android-ConfirmCredential,61,384,197,28,3,16,3,2018-11-13T08:23:42Z,1,8.0,8.0,8.0,0.0,5.0,2.0,1.0,204.0,20.0,135.0,55.0,79.0,49.0,36.0,17.0,17.0,17.0,0.13,0.66,2.13,0.24,15,2,1257,83.0,628.0,0,0.0,0,0.0,0
Android,TOP,android-AsymmetricFingerprintDialog,75,7084,196,36,7,20,4,2018-11-13T06:35:10Z,9,69.0,71.0,71.0,5.0,8.0,2.0,56.0,1152.0,140.0,716.0,302.0,334.0,298.0,291.0,107.0,105.0,111.0,0.79,0.62,1.48,0.26,16,2,1124,70.0,562.0,32,66.7,16,33.3,48
Android,TOP,android-SlidingTabsBasic,91,126,191,35,4,26,3,2018-11-11T14:42:19Z,12,93.0,73.0,93.0,10.0,5.0,7.0,71.0,1569.0,229.0,734.0,318.0,355.0,606.0,544.0,133.0,128.0,140.0,0.76,0.47,1.38,0.39,25,2,1525,61.0,762.0,0,0.0,0,0.0,0
Android,TOP,android-FloatingActionButtonBasic,68,479,186,24,4,25,0,2018-11-14T07:35:06Z,11,69.0,51.0,69.0,1.0,1.0,6.0,61.0,1116.0,152.0,478.0,205.0,216.0,486.0,554.0,93.0,87.0,93.0,0.88,0.43,1.26,0.44,25,2,1533,61.0,766.0,50,66.7,25,33.3,75
Android,TOP,android-RevealEffectBasic,47,404,171,22,1,24,0,2018-10-22T03:20:21Z,10,58.0,40.0,58.0,0.0,1.0,4.0,53.0,958.0,122.0,408.0,175.0,191.0,428.0,458.0,76.0,71.0,76.0,0.91,0.43,1.22,0.45,24,2,1533,63.0,766.0,0,0.0,24,100.0,24
Android,TOP,android-ads,185,918,167,33,6,35,3,2018-11-05T18:36:34Z,25,222.0,222.0,222.0,3.0,44.0,13.0,162.0,3690.0,538.0,2435.0,906.0,1361.0,723.0,892.0,351.0,333.0,364.0,0.73,0.66,1.5,0.2,33,8,1308,39.0,163.0,231,70.0,99,30.0,330
Android,TOP,android-SwipeRefreshListFragment,85,886,163,32,1,24,1,2018-11-09T02:29:39Z,14,109.0,86.0,109.0,10.0,8.0,9.0,82.0,2033.0,282.0,1024.0,496.0,577.0,728.0,671.0,160.0,152.0,169.0,0.75,0.5,1.39,0.36,24,1,1525,63.0,1525.0,0,0.0,0,0.0,0
Android,TOP,android-TextLinkify,51,523,162,19,4,24,0,2018-11-08T06:44:14Z,8,47.0,29.0,47.0,0.0,1.0,2.0,44.0,859.0,102.0,310.0,124.0,149.0,448.0,355.0,61.0,56.0,61.0,0.94,0.36,1.19,0.52,24,1,1525,63.0,1525.0,0,0.0,0,0.0,0
Android,TOP,android-AppShortcuts,112,830,160,29,12,7,6,2018-11-13T00:39:29Z,4,43.0,38.0,39.0,0.0,11.0,5.0,23.0,558.0,93.0,375.0,148.0,195.0,95.0,63.0,69.0,68.0,72.0,0.59,0.67,1.74,0.17,7,1,747,106.0,747.0,0,0.0,0,0.0,0
Android,TOP,android-DirectBoot,68,2313,158,40,6,15,4,2018-10-12T07:22:38Z,9,57.0,52.0,57.0,1.0,0.0,2.0,54.0,984.0,127.0,616.0,307.0,301.0,241.0,366.0,73.0,73.0,77.0,0.95,0.63,1.28,0.24,13,2,971,74.0,485.0,39,50.0,39,50.0,78
Android,TOP,android-play-games-in-motion,42,2223,155,25,2,6,0,2018-10-15T10:45:17Z,31,376.0,345.0,380.0,2.0,74.0,8.0,296.0,5898.0,835.0,3588.0,1343.0,2044.0,1731.0,1321.0,583.0,572.0,610.0,0.78,0.61,1.51,0.29,6,2,1304,217.0,652.0,0,0.0,0,0.0,0
Android,TOP,android-credentials,89,495,154,28,16,25,12,2018-10-19T17:44:31Z,17,183.0,174.0,183.0,6.0,45.0,27.0,105.0,2464.0,344.0,1871.0,739.0,1004.0,252.0,270.0,301.0,290.0,314.0,0.57,0.76,1.58,0.1,21,4,1257,59.0,314.0,210,76.9,63,23.1,273
Android,TOP,android-SlidingTabsColors,64,273,144,31,2,24,0,2018-10-26T00:27:13Z,13,103.0,82.0,103.0,16.0,5.0,7.0,75.0,1746.0,259.0,825.0,352.0,408.0,674.0,530.0,144.0,139.0,151.0,0.73,0.47,1.35,0.39,24,1,1525,63.0,1525.0,0,0.0,0,0.0,0
Android,TOP,android-TextSwitcher,60,265,140,24,0,24,0,2018-10-22T03:17:52Z,7,46.0,28.0,46.0,0.0,1.0,1.0,44.0,768.0,93.0,301.0,120.0,149.0,374.0,343.0,60.0,55.0,60.0,0.96,0.39,1.2,0.49,24,1,1525,63.0,1525.0,0,0.0,0,0.0,0
Android,TOP,android-BasicAndroidKeyStore,43,615,130,20,3,25,0,2018-11-12T07:21:15Z,11,59.0,41.0,59.0,0.0,1.0,4.0,54.0,1259.0,167.0,554.0,223.0,299.0,538.0,480.0,102.0,95.0,102.0,0.92,0.44,1.61,0.43,25,1,1525,61.0,1525.0,0,0.0,0,0.0,0
Android,TOP,android-SpeedTracker,86,228,122,33,5,32,4,2018-10-31T21:33:14Z,12,78.0,79.0,80.0,2.0,9.0,9.0,60.0,1511.0,241.0,907.0,403.0,461.0,374.0,543.0,125.0,125.0,135.0,0.75,0.6,1.56,0.25,31,2,1474,47.0,737.0,217,58.3,155,41.7,372
Android,TOP,android-NetworkConnect,114,260,121,35,6,25,1,2018-11-02T12:15:41Z,4,31.0,30.0,31.0,4.0,3.0,7.0,17.0,536.0,56.0,298.0,124.0,146.0,183.0,181.0,54.0,49.0,62.0,0.55,0.56,1.58,0.34,25,1,1525,61.0,1525.0,25,20.0,100,80.0,125
Android,TOP,android-SimpleMediaPlayer,61,6551,117,17,0,3,0,2018-11-13T15:59:10Z,4,49.0,48.0,49.0,13.0,8.0,3.0,25.0,522.0,69.0,364.0,114.0,194.0,89.0,137.0,71.0,67.0,76.0,0.51,0.7,1.37,0.17,3,1,445,148.0,445.0,0,0.0,0,0.0,0
Android,TOP,android-play-safetynet,50,397,113,13,9,20,5,2018-11-14T10:49:09Z,12,76.0,49.0,76.0,0.0,11.0,3.0,62.0,1459.0,189.0,684.0,273.0,347.0,587.0,644.0,116.0,110.0,118.0,0.82,0.47,1.45,0.4,17,4,810,47.0,202.0,34,50.0,34,50.0,68
Android,TOP,android-ActionBarCompat-ShareActionProvider,150,1587,111,45,3,19,2,2018-10-20T01:39:58Z,4,25.0,24.0,25.0,1.0,1.0,2.0,21.0,461.0,75.0,219.0,96.0,105.0,168.0,197.0,34.0,32.0,34.0,0.84,0.48,1.28,0.36,19,1,1525,80.0,1525.0,0,0.0,0,0.0,0
Android,TOP,android-BatchStepSensor,46,1056,111,20,1,25,1,2018-11-10T06:59:52Z,20,194.0,176.0,194.0,0.0,30.0,10.0,154.0,3526.0,494.0,1879.0,650.0,1130.0,1159.0,996.0,354.0,324.0,369.0,0.79,0.53,1.67,0.33,25,1,1525,61.0,1525.0,0,0.0,0,0.0,0
Android,TOP,android-NfcProvisioning,53,287,109,34,3,19,0,2018-10-23T10:57:08Z,13,82.0,61.0,82.0,1.0,8.0,7.0,66.0,1443.0,170.0,756.0,308.0,375.0,520.0,614.0,141.0,130.0,144.0,0.8,0.52,1.59,0.36,19,1,1316,69.0,1316.0,19,100.0,0,0.0,19
Android,TOP,android-ScopedDirectoryAccess,56,334,109,33,2,13,2,2018-10-09T02:13:41Z,4,25.0,24.0,25.0,0.0,2.0,2.0,21.0,422.0,53.0,304.0,131.0,166.0,65.0,92.0,46.0,37.0,49.0,0.84,0.72,1.48,0.15,12,2,971,80.0,485.0,36,100.0,0,0.0,36
Android,TOP,android-DeviceOwner,51,229,108,33,5,18,0,2018-10-27T08:38:49Z,4,25.0,18.0,25.0,0.0,10.0,1.0,14.0,490.0,55.0,282.0,125.0,140.0,155.0,152.0,41.0,40.0,41.0,0.56,0.58,1.6,0.32,18,1,1316,73.0,1316.0,18,50.0,18,50.0,36
Android,TOP,android-CustomNotifications,73,531,104,23,1,24,1,2018-10-27T17:18:04Z,1,3.0,3.0,3.0,0.0,1.0,1.0,1.0,125.0,16.0,47.0,29.0,23.0,62.0,32.0,4.0,4.0,4.0,0.33,0.38,1.33,0.5,24,1,1525,63.0,1525.0,0,0.0,0,0.0,0
Android,TOP,android-BasicManagedProfile,68,554,102,37,4,25,4,2018-10-15T10:19:50Z,5,31.0,28.0,31.0,0.0,12.0,2.0,17.0,682.0,60.0,439.0,166.0,242.0,186.0,269.0,68.0,62.0,72.0,0.55,0.64,2.0,0.27,25,3,1593,63.0,531.0,25,33.3,50,66.7,75
Android,TOP,android-CardEmulation,58,627,101,23,5,24,0,2018-11-13T15:35:35Z,12,74.0,50.0,74.0,0.0,1.0,4.0,69.0,1296.0,151.0,562.0,256.0,280.0,588.0,645.0,104.0,99.0,104.0,0.93,0.43,1.34,0.45,24,1,1525,63.0,1525.0,0,0.0,0,0.0,0
Android,TOP,android-BasicAccessibility,50,362,100,30,5,25,5,2018-11-11T07:34:57Z,9,54.0,36.0,54.0,0.0,3.0,4.0,47.0,997.0,112.0,376.0,156.0,183.0,510.0,406.0,71.0,66.0,72.0,0.87,0.38,1.22,0.51,25,2,1525,61.0,762.0,0,0.0,0,0.0,0
Android,TOP,android-ElevationDrag,33,343,98,18,2,25,1,2018-08-16T05:03:51Z,11,77.0,59.0,77.0,0.0,1.0,4.0,72.0,1185.0,166.0,537.0,211.0,262.0,482.0,552.0,100.0,95.0,101.0,0.94,0.45,1.23,0.41,25,3,1593,63.0,531.0,0,0.0,25,100.0,25
Android,TOP,android-HdrViewfinder,41,947,97,24,5,24,0,2018-10-17T13:46:26Z,5,67.0,65.0,67.0,4.0,9.0,4.0,50.0,1328.0,190.0,836.0,306.0,502.0,306.0,214.0,129.0,127.0,143.0,0.75,0.63,1.9,0.23,24,1,1480,61.0,1480.0,72,75.0,24,25.0,96
Android,TOP,android-SynchronizedNotifications,63,449,97,32,0,28,0,2018-08-14T17:17:45Z,13,80.0,62.0,80.0,0.0,9.0,4.0,67.0,1355.0,162.0,664.0,300.0,304.0,533.0,620.0,122.0,115.0,122.0,0.84,0.49,1.44,0.39,28,1,1494,53.0,1494.0,0,0.0,0,0.0,0
